,a,x0,w,bias
0,9.643174931232766,1.514540614028635e-06,9.891488631744624e-09,3.1661205609518315
1,11.25051236389811,1.5142163335930367e-06,1.312259063855068e-08,4.305988700916392
2,10.325446570091898,1.5154875641580933e-06,1.3519126731485805e-08,3.679503714202891
3,10.303342696971036,1.5155593261685543e-06,1.0490378035414603e-08,3.8080242637608728
4,10.869685831922057,1.5158294410115545e-06,9.644030994048848e-09,4.561268140994763
5,9.660855969106533,1.516387613111749e-06,6.3166802284026875e-09,3.3288471541352633
6,9.51795859998228,1.5130843236644543e-06,1.1837984014549802e-08,0.702920147725902
7,10.74147561315201,1.5155474852045508e-06,8.224200788685831e-09,4.155006459749506
8,8.675503042620516,1.515748488298068e-06,6.992354119756646e-09,2.186656802919192
9,10.619198880119281,1.5163900830704856e-06,1.2628568390161318e-08,3.1538507309914317
